3270479,ALL WOMEN PS KHARAGPUR,318
3270506,BELDANGA,319
3270507,BERHAMPORE,319
3270508,BHAGWANGOLA,319
3270509,BHARATPUR,319
3270510,BURWAN,319
3270515,DOMKAL,319
3270517,DAULATABAD,319
3270520,FARAKKA,319
3270525,HARIHARPARA,319
3270528,ISLAMPUR,319
3270530,JALANGI,319
3270531,JIAGUNJ,319
3270536,KANDI,319
3270537,KHARGRAM,319
3270541,LALGOLA,319
3270545,MURSHIDABAD,319
3270548,NABAGRAM,319
3270549,NOWDA,319
3270556,RAGHUNATHGUNJ,319
3270557,RANINAGAR,319
3270558,RANITALA,319
3270559,REJINAGAR,319
3270561,SALAR,319
3270562,SAGARDIGHI,319
3270563,SAMSHERGUNJ,319
3270564,SUTI,319
3270565,SHAKTIPUR,319
3270610,CHAKDAH,320
3270611,CHAPRA,320
3270613,DHANTALA,320
3270615,DHUBULIA,320
3270616,GANGNAPUR,320
3270617,HANSKHALI,320
3270618,HARINGHATA,320
3270622,HOGOLBERIA,320
3270625,KALIGANJ,320
3270626,KALYANI,320
3270627,KARIMPUR,320
3270628,KOTWALI,320
3270629,KRISHNAGANJ,320
3270634,MURUTIA,320
3270637,NABADWIP,320
3270638,NAKASHIPARA,320
3270647,RANAGHAT,320
3270652,SANTIPUR,320
3270656,TAHERPUR,320
3270657,TEHATTA,320
3270659,THANERPARA,320
3270660,KRISHNANAGAR WOMEN,320
3270698,RANAGHAT WOMEN,320
3270699,BHIMPUR,320
3270701,ARSHA,321
3270706,BAGMUNDI,321
3270707,BALARAMPUR,321
3270708,BANDWAN,321
3270709,BARABAZAR,321
3270712,BORO,321
3270720,HURA,321
3270724,JHALDA,321
3270725,JOYPUR,321
3270730,KASHIPUR,321
3270732,KENDA,321
3270735,MANBAZAR,321
3270738,NETURIA,321
3270742,PARA,321
3270743,PUNCHA,321
3270744,PURULIA (M),321
3270745,PURULIA (T),321
3270750,RAGHUNATHPUR,321
3270754,SANTALDIH,321
3270755,SANTURI,321
3270791,KOTSHILA,321
3270804,BALLYGUNJ GRPS,315
3270805,BERHAMPORE,315
3270806,BONGAON,315
3270807,BARASAT,315
3270808,JADAVPUR,315
3270809,KRISHNANAGAR,315
3270810,BARUIPORE,315
3270811,DIAMOND HARBOUR,315
3270812,DUM DUM,315
3270830,NAIHATI,315
3270837,RANAGHAT,315
3270845,SEALDAH,315
3270846,SONARPORE,315
3270901,ALIPURDUAR  JN,309
3270902,BALURGHAT GRPS,309
3270905,NEW COOCH BEHAR,309
3270915,MALDA TOWN,309
3270916,NEW MAL JN,309
3270918,NEW MAYNAGURI,309
3270922,NJP,309
3270930,DALKHOLA,309
3270935,SILIGURI TOWN,309
3271005,BALURGHAT,310
3271006,BANSHIHARI,310
3271020,GANGARAMPUR,310
3271024,HARIRAMPUR,310
3271027,HILI,310
3271038,KUMARGANJ,310
3271039,KUSHMANDI,310
3271060,TAPAN,310
3271161,KOLKATA LEATHER COMPLEX (KLC),304
3271208,BOWBAZAR,315
3271210,BURRABAZAR,315
3271218,HARE STREET,315
3271222,JORASANKO,315
3271235,MUCHIPARA,315
3271240,POSTA,315
3271255,TALTOLLA,315
3271256,NEW MARKET,315
3271257,GIRISH PARK,315
3271304,BELIAGHATA,315
3271308,BENIAPUKUR,315
3271316,ENTALLY,315
3271318,PHOOLBAGAN,315
3271330,MANIKTOLA,315
3271340,NARKELDANGA,315
3271360,ULTADANGA,315
3271402,AMHER STREET,315
3271406,BORTALA,315
3271409,CHITPORE,315
3271412,COSSIPORE,315
3271420,JORABAGAN,315
3271435,SHYAM PUKUR,315
3271436,TALA,315
3271437,SINTHEE,315
3271501,NADIAL,315
3271502,METIABRUZ,315
3271503,RAJABAGAN,315
3271506,EKBALPORE,315
3271508,GARDENREACH,315
3271518,NORTH PORT,315
3271525,SOUTH PORT,315
3271530,WATGUNGE,315
3271532,WEST PORT,315
3271601,ALIPORE,315
3271605,BHAWANIPORE,315
3271607,CHARU-MARKET,315
3271608,CHETLA,315
3271611,HASTINGS,315
3271612,KALIGHAT,315
3271617,MAIDAN,315
3271619,NEW ALIPORE,315
3271622,PARK STREET,315
3271626,SHAKESPARE SARANI,315
3271630,TOLLYGUANGE,315
3271809,DALKHOLA,311
3271810,CHAKULIA,311
3271811,CHOPRA,311
3271821,GOALPUKUR,311
3271826,HEMTABAD,311
3271831,ISLAMPUR,311
3271832,ITAHAR,311
3271836,KALIAGAJ,311
3271837,KARANDIGHI,311
3271850,RAIGANJ,311
3271851,RAIGUNJ BAZAR WOMEN,311
3271901,ADRA,318
3271902,ULUBERIA,318
3271903,DIGHA,318
3271910,BANKURA,318
3271918,HALDIA,318
3271923,JHARGRAM,318
3271931,KHARAGPUR GRPS,318
3271942,PANSKURA,318
3271944,PURULIA,318
3271951,SHALIMAR,318
3272001,BELIABERA,703
3272002,BELPAHARI,703
3272003,BINPUR,703
3272004,GOPIBALLAVPUR,703
3272005,JAMBONI,703
3272006,JHARGRAM,703
3272007,NAYAGRAM,703
3272008,SANKRAIL,703
3272009,JHARGRAM WOMEN,703
3272201,BAGDOGRA,309
3272203,MATIGARA,309
3272204,SILIGURI,309
3272205,PRADHANNAGAR,309
3272206,BHAKTI NAGAR,309
3272207,SILIGURI WOMEN,309
3272301,KULPI,304
3272302,MANDIRBAZAR,304
3272303,MATHURAPUR,304
3272304,RAIDHIGHI,304
3272305,DHOLAHAT,304
3272306,KAKDWIP,304
3272307,SAGAR,304
3272308,NAMKHANA,304
3272309,PATHAR PRATIMA,304
3272310,FREZERGANJ COASTAL,304
3272311,HARWOOD POINT COASTAL,304
3272312,GANGASAGAR COASTAL,304
